,NE,NW,SE,SW,C
0,61763,64014,61656,66018,60420
1,58934,58754,59492,59425,60586
2,60507,60065,55794,60164,59818
3,63540,60562,59330,57209,59807
4,64358,62323,60667,57334,60864
5,62983,62005,58744,57582,61828
6,65931,60143,59246,57060,58490
7,57922,61383,60482,63557,62905
8,56837,60452,58609,55288,57610
9,64391,58843,56649,61254,57364
10,63755,61590,59609,61821,61851
11,62132,61178,57379,59596,57882
12,63069,64049,61299,59404,59348
13,66497,61305,56882,60383,58751
14,59609,62132,62926,64578,61833
15,57729,57956,60196,60299,60907
16,63915,57856,56565,59230,58991
17,59761,60531,56592,63157,60753
18,62419,56053,58365,60160,57746
19,60421,59026,55878,63117,59244
20,63078,61136,58744,63757,60017
21,59280,63095,62422,65741,65404
22,60195,57275,58328,58885,59816
23,64090,55728,57392,59614,57445
24,63132,62337,57127,58902,61289
25,62045,62217,56871,60187,60317
26,64044,59534,61466,64499,58298
27,64106,61165,59184,58149,60895
28,60496,59126,62371,62271,61531
29,60083,60789,57078,56688,59456
30,63973,58979,57713,58945,57587
